Sample #	Timepoint	Tissue	Animal #	Ct_genomic	copies_genomic	TCID50 eq/1ML	log10TCID50eq/mL	Ct_subgenomic	copies_subgenomic	TCID50 eq/1ML.1	log10TCID50eq/mL.1	log10_copies_subgenomic	hamster_id	animal_name	sex	sacrifice_day	variant	cage_id	log10_tcid50	n_positive_wells	starting_row_dilution
66	4	oral swab	CoV1281	24.546295166015625	10951.5791015625	2346766.9503348214	6.3704699633911135	27.869224548339844	4337.830078125	929535.0167410715	5.968265754829782	3.637272535788358	1281	CoV1281	F	D14	Alpha	3	1.75	5	0
86	5	oral swab	CoV1281	23.55643653869629	21845.4609375	4681170.200892857	6.670354431762948	27.29348373413086	6410.87646484375	1373759.242466518	6.1379106273159545	3.80691740827453	1281	CoV1281	F	D14	Alpha	3	0.5	0	0
103	7	oral swab	CoV1281	21.32072639465332	27160.9609375	5820205.915178572	6.764938349983879	25.743003845214844	4901.875	1050401.7857142857	6.02135545139559	3.6903622323541656	1281	CoV1281	F	D14	Alpha	3	0.5	0	0
7	1	oral swab	CoV1282	22.880521774291992	35005.33203125	7501142.578125	6.875127420402502	27.623199462890625	5125.83984375	1098394.252232143	6.040758251622731	3.7097650325813065	1282	CoV1282	F	D14	Alpha	3	1.5	4	0
27	2	oral swab	CoV1282	19.90275764465332	279426.9375	59877200.89285715	7.777261489980969	23.50726318359375	83665.4296875	17928306.361607146	7.25353926488012	4.922546045838695	1282	CoV1282	F	D14	Alpha	3	2.75	5	-1
47	3	oral swab	CoV1282	21.20765495300293	112445.140625	24095387.276785716	7.381933910957599	24.380943298339844	46250.015625	9910717.633928573	6.99610510283756	4.665111883796135	1282	CoV1282	F	D14	Alpha	3	2.25	7	0
67	4	oral swab	CoV1282	20.638036727905273	167305.59375	35851198.66071429	7.554503680590466	24.11138153076172	55531.5234375	11899612.165178573	7.075532807000292	4.744539587958868	1282	CoV1282	F	D14	Alpha	3	2.0	6	0
87	5	oral swab	CoV1282	23.986478805541992	16183.66796875	3467928.8504464286	6.54007017871897	27.14330291748047	7098.5380859375	1521115.3041294643	6.182162135847332	3.851168916805907	1282	CoV1282	F	D14	Alpha	3	0.5	0	0
104	7	oral swab	CoV1282	24.099435806274414	3662.260986328125	784770.2113560268	5.894742509548711	28.38603973388672	699.4442138671875	149880.9029715402	5.175746300877431	2.8447530818360063	1282	CoV1282	F	D14	Alpha	3	0.5	0	0
8	1	oral swab	CoV1283	18.311098098754883	848149.625	181746348.21428573	8.259465693444046	22.804426193237305	134784.65625	28882426.339285716	7.460633674406623	5.129640455365197	1283	CoV1283	F	D5	Alpha	3	3.0	6	-1
28	2	oral swab	CoV1283	17.129201889038086	1934354.25	414504482.1428572	8.617529231048863	20.547487258911133	623244.875	133552473.21428572	8.1256519349884	5.7946587159469765	1283	CoV1283	F	D5	Alpha	3	1.25	3	0
48	3	oral swab	CoV1283	24.763296127319336	9413.146484375	2017102.8180803573	6.304728036133866	28.19428825378418	3479.2919921875	745562.5697544643	5.872484096560064	3.54149087751864	1283	CoV1283	F	D5	Alpha	3	1.0	2	0
68	4	oral swab	CoV1283	22.80325698852539	36943.84765625	7916538.783482144	6.898535343736808	25.86368751525879	16912.73828125	3624158.203125	6.559207147405598	4.228213928364172	1283	CoV1283	F	D5	Alpha	3	1.75	5	0
88	5	oral swab	CoV1283	28.711997985839844	599.0299072265625	128363.55154854912	5.108441724601397	32.963741302490234	136.8194580078125	29318.455287388395	4.467141084733211	2.136147865691787	1283	CoV1283	F	D5	Alpha	3	0.5	0	0
105	7	oral swab	CoV1283	23.309953689575195	6471.24462890625	1386695.277622768	6.141981036569703	27.54584503173828	1298.8642578125	278328.05524553574	5.4445569850772095	3.1135637660357847	1283	CoV1283	F	D5	Alpha	3	0.5	0	0
9	1	oral swab	CoV1284	19.56431770324707	353835.15625	75821819.19642858	7.879794200263092	24.010488510131836	59465.9296875	12742699.21875	7.105261432052976	4.774268213011551	1284	CoV1284	F	D5	Alpha	4	2.5	4	-1
29	2	oral swab	CoV1284	19.591938018798828	347082.90625	74374908.48214287	7.871426444340306	23.037988662719727	115032.3828125	24649796.316964287	7.391813335021609	5.060820115980183	1284	CoV1284	F	D5	Alpha	4	1.5	4	0
49	3	oral swab	CoV1284	28.766525268554688	576.6723022460938	123572.63619559152	5.091922311651288	32.145538330078125	238.36114501953125	51077.38821847099	4.708228682027055	2.377235462985631	1284	CoV1284	F	D5	Alpha	4	0.5	0	0
69	4	oral swab	CoV1284	20.561628341674805	176465.125	37813955.35714286	7.577652107141355	23.966039657592773	61286.56640625	13132835.658482144	7.118358509628481	4.787365290587057	1284	CoV1284	F	D5	Alpha	4	1.5	4	0
89	5	oral swab	CoV1284	21.76598358154297	19701.802734375	4221814.871651786	6.625499185394461	25.776573181152344	4782.1376953125	1024743.7918526786	6.010615295934827	3.6796220768934025	1284	CoV1284	F	D5	Alpha	4	0.5	0	0
10	1	oral swab	CoV1285	19.3527889251709	410095.5625	87877620.53571428	7.943878289006329	23.29206085205078	96818.0859375	20746732.70089286	7.3169497115685775	4.985956492527152	1285	CoV1285	F	D5	Alpha	4	0.5	0	0
30	2	oral swab	CoV1285	19.58571434020996	348593.0625	74698513.39285715	7.873311958820709	23.092605590820312	110847.7734375	23753094.308035716	7.375720193050172	5.044726974008747	1285	CoV1285	F	D5	Alpha	4	2.75	5	-1
50	3	oral swab	CoV1285	22.759660720825195	38084.64453125	8160995.256696429	6.911743125436968	25.786386489868164	17823.421875	3819304.6875	6.581984305878343	4.250991086836919	1285	CoV1285	F	D5	Alpha	4	2.25	7	0
70	4	oral swab	CoV1285	21.989469528198242	65175.53515625	13966186.104910715	7.145077824887961	24.917160034179688	32144.96484375	6888206.752232144	6.8381061741607505	4.507112955119326	1285	CoV1285	F	D5	Alpha	4	0.75	1	0
90	5	oral swab	CoV1285	22.260452270507812	13792.8955078125	2955620.4659598214	6.470648665134882	26.41390609741211	2990.299560546875	640778.4772600447	5.806707916053436	3.475714697012011	1285	CoV1285	F	D5	Alpha	4	0.5	0	0
11	1	oral swab	CoV1286	18.84811782836914	583147.8125	124960245.5357143	8.096771869883906	24.478130340576172	43298.73828125	9278301.060267858	6.967468460303001	4.636475241261576	1286	CoV1286	M	D5	Delta	5	3.5	4	-2
31	2	oral swab	CoV1286	18.94580078125	544734.5625	116728834.82142858	8.067178150449735	24.387226104736328	46053.28515625	9868561.104910715	6.99425383455895	4.663260615517525	1286	CoV1286	M	D5	Delta	5	3.25	7	-1
51	3	oral swab	CoV1286	21.88549041748047	70078.6640625	15016856.58482143	7.176579033151583	26.463218688964844	11260.537109375	2412972.2377232146	6.382552325193919	4.051559106152494	1286	CoV1286	M	D5	Delta	5	1.75	5	0
71	4	oral swab	CoV1286	22.072635650634766	61501.9453125	13178988.28125	7.119882071810712	25.98487663269043	15577.7587890625	3338091.169084822	6.523498193844055	4.19250497480263	1286	CoV1286	M	D5	Delta	5	1.75	5	0
91	5	oral swab	CoV1286	18.810422897338867	165991.375	35569580.35714286	7.551078741495809	23.359731674194336	28370.234375	6079335.9375	6.783856142688836	4.452862923647411	1286	CoV1286	M	D5	Delta	5	0.5	0	0
12	1	oral swab	CoV1287	19.280046463012695	431442.5	92451964.28571428	7.965916142854673	24.75164031982422	35965.33984375	7706858.537946429	6.88687738743377	4.555884168392345	1287	CoV1287	M	D5	Delta	5	3.5	4	-2
32	2	oral swab	CoV1287	20.031347274780273	255453.09375	54739948.66071429	7.738304385759911	24.882970809936523	32899.32421875	7049855.189732144	6.848180196289816	4.51718697724839	1287	CoV1287	M	D5	Delta	5	3.5	4	-2
52	3	oral swab	CoV1287	19.091508865356445	492086.75	105447160.71428572	8.023034890356024	23.228282928466797	101099.4921875	21664176.89732143	7.335742193220749	5.004748974179324	1287	CoV1287	M	D5	Delta	5	2.75	5	-1
72	4	oral swab	CoV1287	20.115583419799805	240874.734375	51616014.508928575	7.7127844677862605	23.641571044921875	76378.578125	16366838.169642858	7.21396478826314	4.882971569221715	1287	CoV1287	M	D5	Delta	5	3.0	6	-1
92	5	oral swab	CoV1287	20.598190307617188	45731.8203125	9799675.78125	6.991211707453383	25.41950225830078	6221.0380859375	1333079.58984375	6.124856079194874	3.793862860153449	1287	CoV1287	M	D5	Delta	5	0.5	0	0
13	1	oral swab	CoV1288	17.149023056030273	1907792.25	408812625.0	8.611524299267485	22.874263763427734	128547.15625	27545819.196428575	7.440055692563333	5.109062473521909	1288	CoV1288	M	D14	Delta	5	3.75	5	-2
33	2	oral swab	CoV1288	20.115890502929688	240823.140625	51604958.70535715	7.71269143486179	24.95167350769043	31400.994140625	6728784.458705357	6.827936616890216	4.496943397848791	1288	CoV1288	M	D14	Delta	5	2.75	5	-1
53	3	oral swab	CoV1288	22.098848342895508	60387.5703125	12940193.638392858	7.111940775208748	26.701539993286133	9579.361328125	2052720.2845982143	6.312329773953239	3.9813365549118145	1288	CoV1288	M	D14	Delta	5	2.0	6	0
73	4	oral swab	CoV1288	20.055936813354492	251108.609375	53808987.72321429	7.730854821997109	24.57109260559082	40652.14453125	8711173.828125	6.940076680005254	4.609083460963829	1288	CoV1288	M	D14	Delta	5	2.25	7	0
93	5	oral swab	CoV1288	18.91688346862793	153725.4375	32941165.17857143	7.517738956754633	23.640851974487305	23063.3125	4942138.392857143	6.693914902622649	4.362921683581224	1288	CoV1288	M	D14	Delta	5	0.5	0	0
14	1	oral swab	CoV1289	20.107242584228516	242280.34375	51917216.51785715	7.715311400214884	25.64546775817871	19611.62109375	4202490.234375	6.623506712911752	4.292513493870327	1289	CoV1289	M	D14	Delta	6	3.5	4	-2
34	2	oral swab	CoV1289	20.484596252441406	186207.125	39901526.78571429	7.6009895137801	25.227205276489258	26046.93359375	5581485.770089286	6.746749821851634	4.41575660281021	1289	CoV1289	M	D14	Delta	6	3.0	6	-1
54	3	oral swab	CoV1289	20.5519962310791	177654.828125	38068891.74107143	7.580570233847646	24.441076278686523	44401.06640625	9514514.229910715	6.978386619984605	4.64739340094318	1289	CoV1289	M	D14	Delta	6	3.0	6	-1
74	4	oral swab	CoV1289	21.539295196533203	89221.1875	19118825.892857146	7.281461218279517	26.02436065673828	15165.9912109375	3249855.2594866073	6.511864019007777	4.180870799966352	1289	CoV1289	M	D14	Delta	6	2.25	7	0
94	5	oral swab	CoV1289	23.211471557617188	6947.50732421875	1488751.5694754466	6.172822232334103	27.738689422607422	1126.8482666015625	241467.48570033483	5.3828586600084956	3.051865440967071	1289	CoV1289	M	D14	Delta	6	0.5	0	0
106	7	oral swab	CoV1289	22.923824310302734	8548.8994140625	1831907.0172991073	6.262903426264839	27.699241638183594	1160.0755615234375	248587.6203264509	5.395479496961374	3.0644862779199493	1289	CoV1289	M	D14	Delta	6	0.5	0	0
