Sample #	Timepoint	Tissue	Animal #	Ct_genomic	copies_genomic	TCID50 eq/1ML	log10TCID50eq/mL	Ct_subgenomic	copies_subgenomic	TCID50 eq/1ML.1	log10TCID50eq/mL.1	log10_copies_subgenomic	cage_id	cage	plaques/ml	PFU/day	total_plaques	variant
145	4	cage air	cage 3	26.334087371826172	731.0272216796875	156648.69035993304	5.194926768372962	30.138553619384766	192.3341064453125	41214.451381138395	4.615049523184209	2.2840563041427844	3	cage 3	0.0	0.0	0	Alpha
146	4	cage air	cage 4	26.25153923034668	775.862548828125	166256.26046316966	5.2207780078603605	30.121278762817383	194.79742431640625	41742.30521065849	4.620576429219714	2.2895832101782885	4	cage 4	0.0	0.0	0	Alpha
147	4	cage air	cage 5	24.180774688720703	3453.637451171875	740065.168108259	5.869269964195397	28.99615478515625	446.224853515625	95619.61146763393	4.980546974689143	2.6495537556477182	5	cage 5	1.666667	8.333333	2	Delta
148	4	cage air	cage 6	24.9184627532959	2028.88916015625	434761.962890625	5.638251540866601	29.16763687133789	393.269287109375	84271.99009486608	4.925683249967444	2.59469003092602	6	cage 6	0.833333	4.166667	1	Delta
149	4	cage air	cage 7	28.139978408813477	198.78829956054688	42597.49276297433	4.6293840378057824	33.942481994628906	11.66897964477539	2500.4956381661555	3.3980261013063933	1.0670328822649686	7	cage 7	0.0	0.0	0	Delta
150	4	cage air	cage 8	25.740758895874023	1121.3560791015625	240290.58837890625	5.380736760836555	30.67234992980957	129.7998809814453	27814.260210309712	4.444267513284471	2.1132742942430465	8	cage 8	0.0	0.0	0	Delta
151	5	cage air	cage 1	27.374454498291016	345.2442626953125	73980.91343470983	4.869119689201666	32.19932174682617	42.14413070678711	9030.88515145438	3.9557303192562094	1.6247371002147848	1	cage 1	0.0	0.0	0	Alpha
152	5	cage air	cage 2	26.542757034301758	628.905517578125	134765.46805245537	5.129578623983395	30.27991485595703	173.3123016357422	37138.350350516186	4.569822608892741	2.2388293898513165	2	cage 2	0.0	0.0	0	Alpha
153	5	cage air	cage 3	26.50432014465332	646.5803833007812	138552.93927873884	5.141615743391415	30.224790573120117	180.49525451660156	38677.55453927177	4.587459007198081	2.256465788156656	3	cage 3	0.0	0.0	0	Alpha
154	5	cage air	cage 4	26.83248519897461	510.33172607421875	109356.79844447545	5.038845787237795	30.67104721069336	129.92449951171875	27840.964181082592	4.444684271573324	2.113691052531899	4	cage 4	0.0	0.0	0	Alpha
155	5	cage air	cage 5	27.22333526611328	384.9920959472656	82498.30627441406	4.9164450323896025	33.33125305175781	18.305795669555664	3922.670500619071	3.5935818294721664	1.2625886104307422	5	cage 5	0.0	0.0	0	Delta
156	5	cage air	cage 6	28.687824249267578	133.91351318359375	28695.752825055806	4.457817622826795	32.8046875	26.98094940185547	5781.632014683315	3.762050446539375	1.4310572274979507	6	cage 6	0.0	0.0	0	Delta
157	5	cage air	cage 7	30.635353088378906	32.87953186035156	7045.613970075336	3.847918844457082	36.192386627197266	2.2243423461914062	2142.857142857143	3.3309932190414244	0.3472016298613338	7	cage 7	0.0	0.0	0	Delta
158	5	cage air	cage 8	27.509653091430664	313.1748962402344	67108.90633719308	4.826780161248235	34.37520217895508	8.483772277832031	2142.857142857143	3.3309932190414244	0.9285890026299715	8	cage 8	0.0	0.0	0	Delta
